Entity,Code,Day,Biweekly cases per million people
Afghanistan,AFG,2020-09-18,14.936
Afghanistan,AFG,2020-09-19,15.439
Afghanistan,AFG,2020-09-20,16.217
Afghanistan,AFG,2020-09-21,14.56
Afghanistan,AFG,2020-09-22,14.459
Afghanistan,AFG,2020-09-23,15.087
Afghanistan,AFG,2020-09-24,15.012
Afghanistan,AFG,2020-09-25,14.56
Afghanistan,AFG,2020-09-26,13.832
Afghanistan,AFG,2020-09-27,12.828
Afghanistan,AFG,2020-09-28,11.723
Afghanistan,AFG,2020-09-29,11.02
Afghanistan,AFG,2020-09-30,10.368
Afghanistan,AFG,2020-10-01,10.368
Afghanistan,AFG,2020-10-02,10.217
Afghanistan,AFG,2020-10-03,9.489
Afghanistan,AFG,2020-10-04,7.456
Afghanistan,AFG,2020-10-05,8.736
Afghanistan,AFG,2020-10-06,9.79
Afghanistan,AFG,2020-10-07,10.117
Afghanistan,AFG,2020-10-08,11.196
Afghanistan,AFG,2020-10-09,12.727
Afghanistan,AFG,2020-10-10,12.828
Afghanistan,AFG,2020-10-11,14.359
Afghanistan,AFG,2020-10-12,15.84
Afghanistan,AFG,2020-10-13,16.92
Afghanistan,AFG,2020-10-14,18.225
Afghanistan,AFG,2020-10-15,18.602
Afghanistan,AFG,2020-10-16,19.656
Afghanistan,AFG,2020-10-17,21.187
Afghanistan,AFG,2020-10-18,21.564
Afghanistan,AFG,2020-10-19,21.714
Afghanistan,AFG,2020-10-20,22.317
Afghanistan,AFG,2020-10-21,20.76
Afghanistan,AFG,2020-10-22,20.283
Afghanistan,AFG,2020-10-23,21.262
Afghanistan,AFG,2020-10-24,22.543
Afghanistan,AFG,2020-10-25,22.166
Afghanistan,AFG,2020-10-26,22.016
Afghanistan,AFG,2020-10-27,23.17
Afghanistan,AFG,2020-10-28,23.898
Afghanistan,AFG,2020-10-29,25.932
Afghanistan,AFG,2020-10-30,27.84
Afghanistan,AFG,2020-10-31,27.789
Afghanistan,AFG,2020-11-01,28.593
Afghanistan,AFG,2020-11-02,28.317
Afghanistan,AFG,2020-11-03,29.421
Afghanistan,AFG,2020-11-04,31.806
Afghanistan,AFG,2020-11-05,32.735
Afghanistan,AFG,2020-11-06,32.86
Afghanistan,AFG,2020-11-07,32.333
Afghanistan,AFG,2020-11-08,31.756
Afghanistan,AFG,2020-11-09,33.287
Afghanistan,AFG,2020-11-10,34.14
Afghanistan,AFG,2020-11-11,35.923
Afghanistan,AFG,2020-11-12,36.751
Afghanistan,AFG,2020-11-13,38.333
Afghanistan,AFG,2020-11-14,41.044
Afghanistan,AFG,2020-11-15,40.416
Afghanistan,AFG,2020-11-16,43.655
Afghanistan,AFG,2020-11-17,44.433
Afghanistan,AFG,2020-11-18,47.696
Afghanistan,AFG,2020-11-19,51.135
Afghanistan,AFG,2020-11-20,57.562
Afghanistan,AFG,2020-11-21,61.955
Afghanistan,AFG,2020-11-22,62.005
Afghanistan,AFG,2020-11-23,63.938
Afghanistan,AFG,2020-11-24,67.553
Afghanistan,AFG,2020-11-25,70.666
Afghanistan,AFG,2020-11-26,72.323
Afghanistan,AFG,2020-11-27,73.327
Afghanistan,AFG,2020-11-28,72.046
Afghanistan,AFG,2020-11-29,73.578
Afghanistan,AFG,2020-11-30,74.682
Afghanistan,AFG,2020-12-01,77.695
Afghanistan,AFG,2020-12-02,77.544
Afghanistan,AFG,2020-12-03,78.548
Afghanistan,AFG,2020-12-04,76.063
Afghanistan,AFG,2020-12-05,73.929
Afghanistan,AFG,2020-12-06,78.774
Afghanistan,AFG,2020-12-07,80.205
Afghanistan,AFG,2020-12-08,79.025
Afghanistan,AFG,2020-12-09,77.519
Afghanistan,AFG,2020-12-10,76.565
Afghanistan,AFG,2020-12-11,76.239
Afghanistan,AFG,2020-12-12,74.984
Afghanistan,AFG,2020-12-13,74.958
Afghanistan,AFG,2020-12-14,76.766
Afghanistan,AFG,2020-12-15,74.958
Afghanistan,AFG,2020-12-16,74.958
Afghanistan,AFG,2020-12-17,73.979
